network,n,student_fac,major,degree,dorm,gender
UC61.gml,13746,0.1974393842227082,0.05616489799345555,0.19689194617654843,0.1463954986009367,0.003500995182331605
Cal65.gml,11247,0.18783822430293196,0.10540018670257108,0.19161218892182671,0.21344296168865762,0.01986719564248095
USFCA72.gml,2682,0.21112093153474942,0.0669534544180847,0.0918948294582701,0.1966928759699651,0.021769180867540802
UIllinois20.gml,30809,0.25731604690433646,0.050104296323272735,0.02785293647044362,0.21139338732242216,0.09741171754936198
UChicago30.gml,6591,0.3478631877313323,0.047648175193450826,0.0180019953671388,0.18427497373412455,0.03758800427553716
UConn91.gml,17212,0.24631695232384834,0.04604101345913931,0.08862091474478583,0.10843588732595687,0.011458020945382827
MIT8.gml,6440,0.315240859602468,0.058067301827022307,0.12005101145668977,0.17879641483565542,0.10637579721842909
Rutgers89.gml,24580,0.25329603578359916,0.058147923400332896,0.07571150473377643,0.17018506142535617,0.027061387776762976
USF51.gml,13377,0.11020028330029111,0.02857399749381867,0.14642411650579598,0.14136405416032902,-0.06604059049554868
GWU54.gml,12193,0.35817720136089554,0.042821334901041515,0.025287319007801873,0.15603733269018502,0.024769325241314376
Vanderbilt48.gml,8069,0.395933257094862,0.04977509991322627,0.03783265369348702,0.17594895627064283,0.12472343527912087
USC35.gml,17444,0.27570154328528057,0.07957601765289556,0.005506089487338177,0.1774312035033433,0.07246894926589488
Tennessee95.gml,16979,0.2254260267000189,0.037385939419383105,0.0005228069467332869,0.17004395788176893,0.04708827099974631
NYU9.gml,21679,0.34773094883185024,0.1056644354231659,0.010643859949353306,0.15744562131522247,-0.0016288356787873613
Carnegie49.gml,6637,0.31140884072376596,0.13165372912708742,0.1225068616477979,0.14017200449375108,0.08222144883022799
Villanova62.gml,7772,0.46085880060278733,0.05069448097957243,0.06126868807106425,0.17631148494206905,0.08242886425448132
UCLA26.gml,20467,0.2477766060610285,0.04516370448194337,0.1360665407158633,0.1939886509725879,0.0261779713909185
Bucknell39.gml,3826,0.437004438163074,0.05068802524512606,0.09450740246934398,0.18117961395570054,0.09533585567552584
UVA16.gml,17196,0.3949935310514235,0.050501491529804494,0.025502148797069465,0.1722003343084891,0.07975397743994714
Notre Dame57.gml,12155,0.46316734965976447,0.04678821166940134,0.047713151929631104,0.20908741768057768,0.11054561418140783
Virginia63.gml,21325,0.2507334811652689,0.0512937445616509,-0.0160740257703725,0.11855193325265964,0.05618610729994021
Swarthmore42.gml,1659,0.34699394290845326,0.03975192583010515,0.060967135812287146,0.10282092471247326,0.053833362491665586
WashU32.gml,7755,0.40191500805920866,0.03857364603090448,0.04045640394806341,0.12865546789609558,0.07916260762683014
Columbia2.gml,11770,0.4228002912622335,0.042998352836705535,-0.00217815511056591,0.12662993083730836,0.06890174483202012
UNC28.gml,18163,0.29778306688690226,0.045913865966084356,6.828145736464371e-05,0.17710666947254836,0.04958957159562691
Bingham82.gml,10004,0.28566560558585763,0.04680298160715488,0.13736406472255866,0.16444205050113206,0.014380408209446058
Rochester38.gml,4563,0.2732063716167712,0.06362608748567308,0.024955793804523445,0.19940151498188244,0.0653721388184741
Berkeley13.gml,22937,0.27458585010098285,0.05825502994601474,0.010313459088874256,0.1472764407599787,0.040922837639318366
Harvard1.gml,15126,0.5426250622894172,0.04967692832862898,0.1450548876710892,0.12567663504955817,0.04526997737944205
Princeton12.gml,6596,0.4822395993165163,0.054390118871393854,0.09109212356796513,0.09467841955418972,0.05061073999529183
UC64.gml,6833,0.16479416353625825,0.03905449958910147,0.12548976296410755,0.17449062925601233,-0.02392221673161879
Middlebury45.gml,3075,0.4096197667082307,0.04479537729853834,0.07848305830139066,0.147319123429139,0.032079513068920665
Haverford76.gml,1446,0.380880994739837,0.03444328988167116,0.06749211773411773,0.12501507074129053,0.05374157562151384
William77.gml,6472,0.32411574983077,0.040335612068968185,0.05160144749219283,0.15775664215561722,0.09441362345344896
Vermont70.gml,7324,0.3376098793838128,0.04820800387530525,0.07720492514507997,0.1986564534012908,0.00511786705968709
Northwestern25.gml,10567,0.36216810374024166,0.08266001904656078,0.034441290807110454,0.19249029391903139,0.08532383800557221
Northeastern19.gml,13882,0.27357727603212667,0.09708983846144985,0.06817059301790449,0.15133747674027956,-0.003768214659710587
Dartmouth6.gml,7694,0.4122022116147314,0.03903446259524427,0.0443844530532393,0.12223439633240994,0.07691322430072337
Yale4.gml,8578,0.4587434480577875,0.047949713835888565,0.018630368851042804,0.22130565981210054,0.031130970540423925
Cornell5.gml,18660,0.405676204703387,0.08763081689728056,0.018050046886142646,0.1755222232199879,0.07228133436858035
Temple83.gml,13686,0.19202358797725116,0.05658437042746409,0.030284112738160594,0.19761010075682683,-0.05404039351244846
Colgate88.gml,3482,0.4409103362420721,0.05220371082480271,0.0670008825165129,0.15031593379176325,0.07061993504364951
Simmons81.gml,1518,0.31860884548376206,0.06128813449234577,-0.061966981008910633,0.16773118628478947,0.004645390065675416
MSU24.gml,32375,0.28232286678060764,0.039424721378290555,0.00904746495752831,0.17311498973922565,0.0062268173809988826
MU78.gml,15436,0.3231482053134477,0.04670094049532148,0.158460188647669,0.23560581072167686,0.10228364673472046
Maine59.gml,9069,0.1573732340930138,0.05899993666678831,0.07315552322160378,0.1575974584276975,-0.002939903654461614
UGA50.gml,24389,0.3007504540694909,0.0318734350756891,0.08963118175600104,0.2533096818903059,0.08628614856107347
Howard90.gml,4047,0.27962718528340236,0.04267554932236929,0.05788251760170504,0.11269101834435273,-0.08249330495373783
UCF52.gml,14940,0.12512677875910055,0.031224037537821474,-0.007706840818182844,0.1449225826389371,0.026761338310885945
Auburn71.gml,18448,0.19188583301598133,0.039702277549642534,0.0010457492217915336,0.24042736612322696,0.07860332165875689
FSU53.gml,27737,0.22214903750070214,0.04276377876474231,0.09936155410737192,0.18570686354606247,0.034434075224641925
Michigan23.gml,30147,0.34397818747197967,0.05904611585052325,0.11500151586718603,0.1592355752885248,0.06374546209639173
BU10.gml,19700,0.4217995017387893,0.06794024300787875,0.04536583829567127,0.125745899151448,0.017744701961847728
Brown11.gml,8600,0.42455744202161066,0.03912469612684111,0.06938877121976782,0.10272238407816026,0.0251914233618316
Oklahoma97.gml,17425,0.19464267047628517,0.03637908876173665,0.073673257939209,0.28033524372883173,0.09283729598272797
Indiana69.gml,29747,0.2951335355412875,0.043391233119078075,0.13293426270175368,0.2649724290428108,0.014164994355468757
Maryland58.gml,20871,0.27331771145095285,0.05139728013103488,0.0014223562911623877,0.16127867734331042,0.04833902339065285
Penn94.gml,41554,0.24324861264934824,0.04912122542398639,-0.0013267112406894213,0.19983270141047485,0.0186044747437068
Bowdoin47.gml,2252,0.40502911762912347,0.05272493033944635,0.056204574545371214,0.10032165038531404,0.034364287582376016
UMass92.gml,16516,0.2758231984252129,0.0663089851334474,-0.0013735847494940386,0.21846226350107184,-0.036225294635857545
Baylor93.gml,12803,0.3001054960040771,0.044172234844769925,0.07872980389930079,0.23150741077734033,0.07965737069824404
UPenn7.gml,14916,0.4327459838452712,0.05109846204424467,0.09254132987479093,0.18009001649865253,0.07146397689269444
Vassar85.gml,3068,0.4184823886642711,0.054487895872409424,0.10078144349335603,0.19516868272567203,0.005983318446377356
Tufts18.gml,6682,0.43216271711145315,0.041785118684086804,0.11803149414453455,0.12306561467752328,0.0505041953058946
UCSD34.gml,14948,0.2363469786770082,0.03202633892569812,0.034355411587912964,0.24659323062467556,0.026606672253721406
Wake73.gml,5372,0.34675911178100977,0.03955821299599772,0.07093900243305118,0.17848766878645225,0.10481614598220136
Duke14.gml,9895,0.472066970924315,0.04205431811648266,0.06667336653755682,0.12995492575486298,0.08424904813983711
Pepperdine86.gml,3445,0.3378494977435853,0.03374736745346907,0.05550950018031276,0.13296819774110663,0.052962480184568166
UCSB37.gml,14935,0.2718847753389201,0.039744878203771955,0.1830925571215007,0.1779318437125371,-0.001868815299823989
Amherst41.gml,2235,0.4034107230365701,0.042037553944773626,0.05842838917212475,0.07481425548102764,0.04728403063049691
Mich67.gml,3748,0.22862773749288526,0.0749757649933128,0.14173703337749655,0.22541608877762678,0.05255943451146361
Williams40.gml,2790,0.46093161501947716,0.039075592803855246,0.04036915537628349,0.12054782457185409,0.05729173457774
Mississippi66.gml,10521,0.24396094718446149,0.039473064181127684,0.15067257618887162,0.21318095948736157,0.09259465134044964
American75.gml,6386,0.28782116313911155,0.04584227592988082,0.06602249890210447,0.21906380800538072,0.025516641515032305
Oberlin44.gml,2920,0.23011231473520424,0.09350709613377944,0.05008017692087418,0.14980232456217782,0.016933035244921516
Caltech36.gml,769,0.24407936743342126,0.03471942372358318,-0.0652729511948234,0.3491531008726444,0.04633143645586916
Hamilton46.gml,2314,0.3464418209816554,0.03783187276512914,0.03059367085400868,0.10509474528958694,0.07573895904905356
Smith60.gml,2970,0.26382611614364526,0.050211172531449855,0.04361720784999336,0.24251985865351586,0.051031380685604755
Rice31.gml,4087,0.3575169385014553,0.04803348399456115,0.06486169828955646,0.4160174984372533,0.02716354244522551
UC33.gml,16808,0.19482121191693585,0.03530744315036168,0.09392939417783214,0.21994123327561413,0.018111548488374065
Wesleyan43.gml,3593,0.3941846029642573,0.04969504230753204,0.09508340407082262,0.1103745722885239,0.0316462385388578
UCSC68.gml,8991,0.22683959708591767,0.047499094569862906,0.1323785514147946,0.38456528487616004,-0.02251070192637907
JMU79.gml,14070,0.3109844995559799,0.05286918963311421,0.002951501048267594,0.15673106358569272,-0.005731767649378153
Wellesley22.gml,2970,0.42148919501524285,0.037243412189846954,0.06425328627689918,0.10228736377950816,0.022813704518305576
Santa74.gml,3578,0.3195960566253728,0.045128433270266326,0.07063364105479578,0.13917711226855456,0.029890245653954754
Texas84.gml,36371,0.20440875031020636,0.05219944983327741,-0.001504203707302734,0.20201149658298373,0.0544500716564967
Tulane29.gml,7752,0.3880229960782519,0.046350365254908245,0.09760059754166493,0.2501295997750009,0.08390434567924021
Lehigh96.gml,5075,0.3067075189254781,0.04255744757751177,0.03514352338363322,0.23144081638138456,0.06152916640180495
Reed98.gml,962,0.2623369004087465,0.04211843774592218,0.023433911766299838,0.14559977311086097,0.020109792303167198
Emory27.gml,7460,0.3939499136492069,0.03453280363292399,0.06632780311277535,0.17594209817998363,0.07664077397929094
Brandeis99.gml,3898,0.3739665668785806,0.03997525544631663,-0.025515330213873397,0.17899209844438788,0.018033268042430568
BC17.gml,11509,0.5331807976868101,0.0400856429594828,0.07603316135214429,0.12056627340754658,0.013834242638078986
Georgetown15.gml,9414,0.5187940365222197,0.041079292171341604,0.07542026374100665,0.12704415325481117,0.013215201014616186
Trinity100.gml,2613,0.3782911525864028,0.0675034394502031,0.07190565373550929,0.10883910914751317,0.04246312377477926
Johns Hopkins55.gml,5180,0.32521116673118183,0.06353066589182865,0.07980496716493649,0.1094139656825041,0.08197009482543294
Syracuse56.gml,13653,0.37370580598713865,0.07138001487761152,0.06454879873813242,0.2359821551253865,0.051560875121592555
Texas80.gml,31560,0.2885624277396001,0.05971272783340577,0.16389241281404152,0.20483760433918657,0.07969306814123493
UF21.gml,35123,0.2617160396040709,0.04412537522297103,-0.009647878005893272,0.13233755460455515,0.0701803746909402
Stanford3.gml,11621,0.35940581167711366,0.04866919314902132,0.10202555590066512,0.10151961624964567,0.04777842740147541
Wisconsin87.gml,23842,0.2583052787117737,0.036376754971314706,-0.003539731627737647,0.2173363930810636,0.03983871599349019
